id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
0110,66421,4559,5796,1600,8371,29786,7808,4607,3894,32703,44274,100.0,6.863793077490553,8.726155884434139,2.4088767106788516,12.602941840682917,44.84425106517517,11.755318348112796,6.936059378810919,5.862603694614655,49.23593441833155,66.65662968037218
0120,50826,3199,4396,1425,6775,20353,5885,4396,4397,24190,32342,100.0,6.294022744264746,8.64911659386928,2.803683154291111,13.329791838822649,40.04446543107858,11.578719552984692,8.64911659386928,8.651084090819658,47.593751229685594,63.632786369181126
0130,52124,3580,6296,2202,7088,16870,6809,4917,4362,25044,30900,100.0,6.868237280331517,12.078888803622132,4.224541478013967,13.598342414242959,32.365129307037066,13.063080346865169,9.433274499270969,8.368505870616223,48.046964929782824,59.281712838615604
0140,62590,3953,5770,2050,8777,22927,7708,6092,5313,29465,40435,100.0,6.3157053842466855,9.218725035948234,3.275283591628056,14.023006870107046,36.630452148905576,12.315066304521489,9.733184214730787,8.488576449912125,47.07621025722959,64.60297172072215
0210,29145,1853,3165,1247,3402,9372,4112,3262,2732,14258,15633,100.0,6.357865843197804,10.859495625321667,4.27860696517413,11.672671127123007,32.156459083890894,14.108766512266255,11.192314290615887,9.373820552410363,48.920912677989364,53.638703036541436
0220,30088,1865,2616,1024,3409,11747,4097,2796,2534,14654,17927,100.0,6.198484445626163,8.694496144642383,3.4033501728263764,11.330098378090932,39.04214304706195,13.616724275458655,9.29274129220952,8.421962244084021,48.703802180271204,59.58189311353364
0230,25145,1185,1990,775,2531,9449,3949,2653,2613,12035,15328,100.0,4.712666534102207,7.914098230264466,3.082123682640684,10.065619407436866,37.57804732551203,15.704911513223305,10.55080532909127,10.39172797772917,47.86239809107178,60.958441041956654
0240,23974,1907,2146,550,3487,11328,2167,1287,1102,11669,15802,100.0,7.9544506548761165,8.951363977642446,2.294151997997831,14.544923667306248,47.25118878785351,9.038958872111454,5.368315675314925,4.596646366897472,48.673563026612165,65.91307249520314
0250,36822,2774,2799,675,4106,20539,3427,1548,954,17798,25302,100.0,7.533539731682147,7.601433925370703,1.8331432295910055,11.150942371408396,55.77915376676986,9.306936070827222,4.204008473195373,2.590842431155288,48.335234370756616,68.7143555483135
0310,4977,580,599,172,750,1845,471,275,285,2214,3723,100.0,11.653606590315452,12.035362668274061,3.455897126783203,15.06931886678722,37.070524412296564,9.463532248342375,5.525416917821981,5.726341169379144,44.48462929475588,74.80409885473178
0320,11062,1089,1624,432,1489,3632,1288,721,787,5559,6695,100.0,9.844512746338818,14.680889531730248,3.905261254745977,13.460495389622128,32.833122401012474,11.643464111372264,6.517808714518171,7.1144458506599175,50.25311878502983,60.52250949195444
0330,8434,1038,1401,352,991,2868,840,436,508,4126,5458,100.0,12.30732748399336,16.6113350723263,4.173583115959213,11.75005928385108,34.00521697889495,9.959686981266302,5.169551814085843,6.023239269622955,48.921033910362816,64.71425183779938
0340,23791,2401,2908,784,2709,9813,2547,1310,1319,12028,14212,100.0,10.09205161615737,12.22310957925266,3.2953637930309783,11.386658820562397,41.24668992476146,10.705729057206506,5.506283888865537,5.5441133201630866,50.55693329410281,59.73687528897482
0350,16255,1614,1875,489,1939,7209,1617,829,683,8012,11262,100.0,9.929252537680714,11.534912334666258,3.00830513688096,11.928637342356199,44.34943094432482,9.94770839741618,5.099969240233775,4.201784066441095,49.28944940018456,69.2832974469394
0360,40739,3117,3955,1185,4705,19531,4611,2207,1428,20317,27863,100.0,7.651145094381305,9.708142075161394,2.908760647045828,11.549129826456221,47.94177569405238,11.318392694960602,5.417413289476914,3.5052406784653525,49.87113085740936,68.39392228577039
0370,23100,1724,2302,634,2382,10755,2998,1452,853,11767,14958,100.0,7.463203463203463,9.965367965367964,2.7445887445887447,10.311688311688313,46.55844155844156,12.978354978354979,6.2857142857142865,3.6926406926406927,50.93939393939394,64.75324675324676
0410,11322,860,1328,452,1192,3502,1623,1217,1148,5595,6476,100.0,7.595831125242889,11.72937643525879,3.992227521639286,10.528175234057587,30.930930930930934,14.33492315845257,10.748984278396042,10.139551316021905,49.41706412294648,57.19837484543366
0420,15468,1010,1598,563,2375,4820,1889,1477,1736,7849,9144,100.0,6.529609516420997,10.331005947763124,3.6397724334109127,15.354279803465218,31.161106801137834,12.212309283682442,9.548745797776053,11.223170416343418,50.74347039048358,59.1155934833204
0430,55663,3632,4745,1651,6743,19740,6990,5555,6607,28004,33419,100.0,6.524980687350664,8.524513590715555,2.966063632933906,12.113971578966279,35.46341375779243,12.557713382318598,9.979699261628012,11.869644108294558,50.309900652138765,60.038086341016474
0440,21276,1571,2533,788,2032,6430,2982,2243,2697,11113,11548,100.0,7.3839067493889825,11.90543335213386,3.7037037037037033,9.550667418687723,30.221846211693926,14.015792442188383,10.542395187065237,12.676254935138184,52.232562511750324,54.27711975935326
